,"Fit time, s","Score time, s",Regressor,R2 on test,MAE on test
2,5.241079568862915,0.005452394485473633,GradientBoosting,0.2653101839076307,30.31856806024628
3,5.28247594833374,0.00545501708984375,GradientBoosting,0.24255208959893848,30.49096705114042
4,3.237318992614746,0.005360841751098633,GradientBoosting,0.23492102277060656,30.297736946057995
0,4.676328182220459,0.07511019706726074,SelfWritedBagging,0.24973728222356517,30.704507624179048
1,4.52866005897522,0.045865535736083984,SelfWritedBagging,0.2670531981657205,31.336429197202584
2,4.524994611740112,0.0521237850189209,SelfWritedBagging,0.24250467693348488,30.860021762385177
3,4.580769777297974,0.05871939659118652,SelfWritedBagging,0.21630342414483927,31.05082209854087
4,4.579192399978638,0.03815650939941406,SelfWritedBagging,0.21001867862604073,30.70473497613811
0,3.390331506729126,0.015104293823242188,Bagging,0.2481539062125857,30.7444881094004
1,3.3525805473327637,0.019847869873046875,Bagging,0.26690445805783125,31.314118407530493
2,3.293390989303589,0.01879119873046875,Bagging,0.24395987827962962,30.81955290302883
3,3.3179242610931396,0.018017292022705078,Bagging,0.21517847243050703,31.06313112160318
4,1.2837200164794922,0.012553215026855469,Bagging,0.20759646702008827,30.746323089770414
0,7.193255186080933,0.03122687339782715,RandomForest,0.24906814062395843,30.726188171075588
1,7.074089765548706,0.024952173233032227,RandomForest,0.2677185258144672,31.29978749113551
2,7.270854234695435,0.018990039825439453,RandomForest,0.24443030153595457,30.820013372676502
3,6.983251094818115,0.01621413230895996,RandomForest,0.21523826117595024,31.067019263326593
4,5.181454181671143,0.02761077880859375,RandomForest,0.20953782099224005,30.70873579788216
0,4.55964207649231,0.010514497756958008,SelfWritedAdaBoost,0.20493177697926235,31.568
1,4.588423252105713,0.007576942443847656,SelfWritedAdaBoost,0.21929928796730724,32.3015
2,4.617804288864136,0.007694244384765625,SelfWritedAdaBoost,0.20082459716023193,31.5815
3,4.603847026824951,0.009209394454956055,SelfWritedAdaBoost,0.19369386881362405,31.346
4,6.316118955612183,0.006093740463256836,SelfWritedAdaBoost,0.1783497816897146,31.2925
0,4.391374349594116,0.008152246475219727,AdaBoost,0.2194462240518813,31.379903857541105
1,4.40191912651062,0.007674455642700195,AdaBoost,0.24012305300005277,32.00327197063823
2,4.540800333023071,0.014563322067260742,AdaBoost,0.23446564934839276,30.990487818352186
3,4.489662408828735,0.011718511581420898,AdaBoost,0.22245715127272925,30.966784133199873
4,3.9476921558380127,0.006392955780029297,AdaBoost,0.2014453609422806,30.959556601497184
0,5.347142457962036,0.006218433380126953,GradientBoosting,0.26749450764523974,30.280283977902517
1,5.394169330596924,0.005530595779418945,GradientBoosting,0.28263542157531685,31.00177831039078
2,5.265888690948486,0.005513668060302734,GradientBoosting,0.2653101839076307,30.31856806024628
3,5.245351076126099,0.00544428825378418,GradientBoosting,0.24255208959893848,30.49096705114042
4,3.3925492763519287,0.00543212890625,GradientBoosting,0.23492102277060656,30.297736946057995
0,129.3371889591217,0.04274797439575195,HistGradientBoosting,0.26296830913209757,30.42476711497466
1,129.90101289749146,0.007096767425537109,HistGradientBoosting,0.2777640724386006,31.095997660383393
2,129.0456166267395,0.04156064987182617,HistGradientBoosting,0.25764785080068586,30.493202034718458
3,128.98442554473877,0.007493019104003906,HistGradientBoosting,0.23220384217630563,30.712920617077287
4,6.319580793380737,0.0063588619232177734,HistGradientBoosting,0.2236678857361898,30.498159599631254
0,146.2617871761322,0.023257732391357422,XGB,0.2593559225442258,30.53381728363037
1,147.19426107406616,0.005047798156738281,XGB,0.2721861209465718,31.30502520751953
2,146.94299745559692,0.006505012512207031,XGB,0.25719665500579036,30.529378601074217
3,147.1257679462433,0.008206605911254883,XGB,0.2309440105313295,30.79388193511963
4,4.227281808853149,0.0034618377685546875,XGB,0.22285779904485203,30.516247901916504
0,92.03333163261414,0.004327535629272461,LGBM,0.2640873029482975,30.403163167555963
1,91.81073474884033,0.03880000114440918,LGBM,0.27804445134528943,31.104749935085245
2,92.31598019599915,0.00442051887512207,LGBM,0.25939756534726477,30.45465495549539
3,91.54246020317078,0.0038907527923583984,LGBM,0.23449350821202153,30.664871466538607
4,2.656548023223877,0.007097959518432617,LGBM,0.22705823275138548,30.43452991264728
0,95.034802322387724,0.008991959518432617,CatBoost,0.21221493275138548,30.42452921412434
1,92.656542322387724,0.004312959518432617,CatBoost,0.24221356875138548,30.12670075682235
2,94.94229745249692,0.001437959518432617,CatBoost,0.29721245005138548,30.43214125439952
3,90.52124252173847,0.001234567518432617,CatBoost,0.26143512256568548,30.43233256590707
4,4.121442542473817,0.004211235518432617,CatBoost,0.23555823275138548,30.13246791264728
